鋻	giám
嗗	oát
嗞	chi, tư
嗟	ta
嗢	miệt, ốt
嘅	khái
喍	sài
喿	táo
嗀	hác
嗁	đề
嗃	hao, háo, hạc
嗄	a, chới, hạ, sá
嗅	khứu
嗆	sang, thương
嗇	sắc
嗉	tố
嗊	cống
嗋	hiệp
嗌	ác, ách, ái, ích, ải
嗍	thoa
嗎	ma, mạ
嗐	hại, hạt
嗑	hạp
嗓	tảng
嗔	sân, điền
嗙	bang, bảnh
嗚	ô
嗛	hiềm, hàm, khiêm, khiếp, khiểm
嗜	thị
嗝	cách
嗡	ông, ổng
嗣	tự
嗤	si, xi, xuy
嗥	hào
嗦	sách, thoa
嗧	gia luân
嗨	hải
嗩	tỏa
嗫	chiếp, nhiếp
嗯	ân
嗳	ai, ái
嗶	tất
嗷	ngao, ngạo
嗸	ngao
嗹	liên
嗼	mạc
嘟	đô
嘩	hoa
辔	bí
㗖	đạm
嗺	thôi
嗻	cha, chạ, gia, già
嗽	thấu, tốc
嗾	thốc, tẩu
嗿	thám
嘀	đê, đích
嘁	thích, táp
嘂	khiếu
嘄	kiêu
嘆	thán
嘈	tào
嘉	gia
嘌	phiêu
嘍	lâu
嘎	ca, dát, kiết
嘏	hỗ
嘐	giao, hao
嘑	hô, hố
嘒	huế, uế
嘓	quắc
嘔	hu, hú, âu, ẩu
嘕	hiên
嘖	sách, trách
嘗	thường
嘘	hư
嘙	bà
嘛	ma
嘜	mã, mạ, mạch
嘝	hộc
嘞	lặc
嘡	thang
嘣	băng
嘤	anh
嘦	khiếu
嘧	mật
噉	hám, đạm
𠁷	sản
嘠	dát
嘫	nhiên
嘬	soái, toát
嘮	lao, lạo
嘰	cơ, ki, ky, kỷ
嘱	chúc
嘲	trào
嘵	hiêu
嘶	tê, tư
嘷	hào
嘸	mô, phủ
嘹	liệu
嘺	khiêu, kiều, kiệu
嘻	hi, hy
嘼	súc
嘽	siển, than, xiển
嘾	đảm
嘿	hắc, mặc
噀	tuyển, tốn, tổn
噁	ác, ố
噂	tổn, tỗn
噅	huy, khuy
噆	thản
噇	sàng, tràng
噌	tăng
噍	tiêu, tiếu, tưu
噎	ế
噏	hấp
噐	khí
噒	liên
噓	hư
噔	đăng
噗	phác, phốc
噘	quyết
噙	cầm
噚	tầm
噛	giảo
噜	lỗ, rô
噠	đát
噢	Úc, úc, ẩu, ủ
噧	hái
噴	phôn, phún
噵	đạo
噶	cát
𠾀	triệt
亸	đả
嘯	khiếu, sất, tiêu
嘴	chủy
噞	nghiệm
噡	chiêm
噣	trác, trú, trụ
噤	cấm
噥	nông
噦	hối, uyết, uế
器	khí
噩	ngạc
噪	táo
噫	y, ái, ý, ức
噬	phệ
噭	khiếu, kiêu, tiếu
噯	ai, ái, ải
噰	ung, ủng
噱	cược
噲	hồi, khoái
噳	ngu
噷	hâm
噸	đốn
噹	đang, đáng, đương
嚃	tháp
嚄	hoát, hoạch
嚆	hao
駡	mạ
嚀	ninh
嚁	địch
嚂	hảm, lạm
嚅	nhu
嚇	hách
嚈	áp
嚌	giai, tế, tễ
嚎	hào
嚏	sí, đế
嚐	thường
嚓	sát
嚝	hoành
嚮	hướng, hưởng
嚕	lỗ, rô
嚗	bác
嚘	ưu
嚙	giảo, khiết, ngão
嚚	ngân
嚛	hộ
嚜	ma, muội, mặc
嚞	triết
嚣	hiêu
嚥	yên, yến, yết
嚦	lịch
嚧	lô
嚩	phược, phạ, phạm
嚪	đạm
嚫	sân, sấn
嚬	tần
嚭	bĩ, dĩ, phỉ
嚴	nghiêm
嚨	lung
嚱	hi, hy
嚲	đả
嚳	khốc
嚵	sàm
嚶	anh
嚷	nhương, nhưỡng, nhượng
嚼	tước
嚾	hoan
嚻	hiêu
囀	chuyển
囁	chiếp, nhiếp
囂	hiêu
囈	nghệ
囅	sản, xiên, xiển
囉	la
囊	nang
囋	tán
囌	tô
囏	gian
囍	hỉ, song hỉ
囑	chúc
囓	khiết, ngão, niết
囔	nang
囗	vi, vy
囘	hối, hồi
囙	nhân
囚	tù
四	tứ
囝	cưỡng, kiển, nam, nga, nguyệt, niên, niếp, tể
回	hối, hồi
囟	tín
因	nhân
囡	nam, niếp
团	đoàn
団	đoàn
囤	đồn, độn
囦	uyên
囧	quýnh
囪	song, thông
囫	hốt
囬	hồi
园	ngoan, viên
囮	ngoa
囯	quốc
困	khốn
囱	song, thông
囲	vy
図	đồ
围	vi, vy
囵	luân
囶	quốc
囷	khuân
囹	linh
固	cố
囻	quốc
囼	thai
国	quốc
图	đồ
囿	hữu, hựu
圀	quốc
圁	ngân
圂	hoạn, hỗn, hộn
圃	phố
圄	ngữ
圅	hàm
圆	viên
圇	luân
圈	khuyên, quyển
圉	ngữ, ngự
圊	thanh
國	quốc
圌	chùy, thuyên, thùy, đoàn
圍	vi, vy
圏	khuyên, quyển
園	viên
圓	viên
圔	áp
圕	thoan, đồ, đồ thư quán
圖	đồ
圗	đồ
團	đoàn
圛	dịch
圜	hoàn, viên
圝	loan
圞	loan, luân
土	thổ, đỗ, độ
圠	át
𡈼	sính
圢	đinh, đỉnh
圣	khốt, thánh
圤	phác
在	tại
圩	vu
圪	khất
圬	ô
圭	khuê
圮	bĩ
圯	di
地	địa
圳	quyến
圹	khoáng
场	tràng, trường
圾	ngập, sắc
圻	kì, kỳ, ngân
址	chỉ
坁	chì, chỉ
坂	bản, phản
坄	dịch
均	quân, vận
坉	đồn
坊	phòng, phường
坋	phấn
坌	bộn, phần
坍	than
坎	khảm
坏	bôi, bùi, hoài, hoại, khôi, nhưỡng, phôi
坐	tọa
坑	khanh
坒	bệ
坕	kinh
块	khối
坚	kiên
坛	đàm, đàn
坜	lịch
坝	bá
坞	ổ
坟	bổn, phần, phẫn
坠	trụy
坡	ba, pha
坣	đường
坤	khôn
坦	thản
坨	đà
坩	kham
坪	bình
坫	điếm
坭	nê
坯	bôi, khôi, phôi
坰	quynh
坱	dưỡng, ương
坲	phật
坳	ao
坴	lục
坵	khâu, khưu
坶	mẫu, mộc
坷	kha, khả
坺	bạt
坻	chì, chỉ, trì, để
坼	sách
坿	phụ
垂	thùy
垃	lạp, lập
垄	lũng
垅	lũng
垆	lô, lư
型	hình
垌	dũng, đồng
垒	luật, lũy
垓	cai, giai
垔	nhân, yên
垕	hậu
垖	đôi
垗	triệu
垚	nghiêu
垛	đóa
垜	đóa
垝	quỵ, quỷ
垞	xá
垠	ngân, ngần
垡	phiệt, phạt
垢	cấu
垣	viên
垤	điệt
垦	khẩn
垧	quynh, thưởng
垩	ác
垫	điếm
垮	khoa, khỏa
垯	đáp
垲	khải
垵	am
城	giàm, thành
埏	diên, duyên, thiên
垸	hoàn, viện
垺	bôi, phu, phù
垻	bá
垼	dịch
垽	ngấn
垾	hạn
埂	canh
埃	ai
埄	bổng, canh, phủng, đãng
埆	xác
埊	địa
埋	mai, man
埌	lãng
埒	liệt
埔	bộ, phố
埕	trình
埘	thì
埙	huân
埚	oa, qua
堲	tức
埜	dã
埝	niệm
域	vực, vức
埠	phụ
埢	quyền
埤	bi, bì, tỳ
埧	cụ
埭	đại
埮	đàm, đàn
埯	am
埰	thái, thải
埱	thúc
埲	bồng, phủng
埳	khảm
埴	thực
埵	đóa, đỏa
埶	nghệ, thế
執	chấp
埸	dịch
培	bẫu, bậu, bồi
基	cơ
埻	chuân, chuẩn
埼	kỳ
埽	tảo
堀	quật
堁	khỏa
堂	đàng, đường
堃	khôn
堄	nghê, nhị
堅	kiên
堆	đôi, đồi
堇	cận
堉	dục
堊	ác
堋	bằng
堌	cố, cổ
堍	miễn, thỏ, thố
堎	lăng
堑	tiệm, tạm
堕	huy, đọa
堝	oa, qua
堵	đổ
堘	thăng
堙	nhân
堞	điệp
堠	hậu
堡	bảo
堣	ngung
堤	đê, đề
堥	mâu
堦	giai
堧	nhuyên
堨	nghiệt, yết, ái
堩	căng
堪	kham
堭	hoàng
堮	ngạc
堯	nghiêu
堰	yển
報	báo
堳	thi
場	tràng, trường
堶	đọa, đà
堺	giới
堿	dảm, kiềm, kiểm, thiêm
塀	bính
塃	hoang
塄	lăng
塈	kí, ký, kỵ
塊	khối
塔	tháp, đáp
塟	tang, táng
塠	đôi
壻	tế
堽	cương
塉	tích
塋	doanh, oanh
塌	tháp
塍	thành, thăng
塏	khải
塑	tố
塒	thì
塓	mịch
塕	ổng
塗	trà, đồ, độ
塘	đường
塙	sác, xác
塚	trũng, trủng
塞	tái, tắc
塡	chấn, trấn, trần, điền, điễn
塢	ổ
塤	huân
塥	cách
塩	diêm
填	trấn, trần, điền
塯	lựu
墓	mộ
塲	tràng, trường
塵	trần
塹	tiệm, tạm
塺	môi
塼	chuyên
塽	sảng
塾	thục
塿	lâu, lũ
墁	mạn
境	cảnh
墄	thức
墅	dã, thự
墆	điệt, đệ
墈	khám
墉	dong, dung
墊	điếm, điệp
墋	sẩm
墍	kí, ký
墐	cận
墑	thương
墖	tháp, đáp
増	tăng
墙	tường
墜	trụy
墟	hư, khư
墬	địa
墮	huy, đọa
墀	trì
墝	khao, nghiêu, sao, xao
增	tăng
墠	thiện
墡	thiện
墣	phác
墦	phiền
墧	kiều, xác
墨	mặc
墩	đôn
墫	tôn
墯	đọa
墰	đàm
墱	đặng
墳	bổn, phần, phẫn
墶	đáp
墺	áo, úc
墻	tường
墼	kích
墽	khao
墾	khẩn
壁	bích
壄	dã
壅	ung, úng, Ủng, ủng
壇	đàn
壈	lẫm
壒	ái
壍	tiệm
壎	huân
壏	hám
壑	hác
壓	yếp, yểm, áp
壔	đảo
壕	hào
壖	nhuyên
壙	khoáng
壘	luật, lũy, lỗi
壝	duy
壚	lô, lư, lự
壛	diêm
壜	đàm
壞	hoài, hoại
壢	lịch
壟	lũng
壠	lũng
壤	nhưỡng
壥	triền
壩	bá
士	sĩ
壬	nhâm, nhậm
壮	trang, tráng
壯	trang, tráng
声	thanh
壱	nhất
壳	xác
垂	thùy
壴	trú
壶	hồ
壸	khổn
壹	nhất
壺	hồ
壻	tế
壼	hồ, khổn
壾	mãng
壽	thọ
夀	thọ
壿	chung
夂	tri, truy
夃	cô
処	xứ, xử
务	vũ, vụ
处	xứ, xử
夅	hàng
夆	phong, phùng
备	bị
惫	bại, bị
夊	truy, tuy
夋	thuân, xuân
夌	lăng
复	phú, phúc, phục, phức
夏	giá, giạ, hạ
夒	nao
夔	quỳ
夕	tịch
外	ngoại
夗	uyển
夙	túc
多	đa
𡖉	côn
夜	dạ, dịch
够	câu, cú, cấu, hú
夠	câu, cú, cấu, hú
夢	mông, mộng
夣	mộng
夤	di, dần
夥	hỏa, khõa, khỏa
大	thái, đại
天	thiên
太	thái
夫	phu, phù
夬	quyết, quái
夭	yêu, yểu
央	ương
夯	bổn, hãng, kháng
失	thất
夲	bản, bổn, thao
头	đầu
乔	kiều
买	mãi
夷	di
夸	khoa, khõa
夹	giáp, kiếp
夺	đoạt
夾	giáp
奁	liêm
奂	hoán
奄	yêm, yểm
奅	pháo
奇	cơ, kì, kỳ
奈	nại
奉	bổng, phụng
奋	phấn
奔	bôn, phẫn
奎	khuê
奏	thấu, tấu
奐	hoán
契	khiết, khất, khế, tiết
奓	tra, trá, xa, xỉ
奕	dịch
奖	tưởng
牵	khiên, khản
类	loại
套	sáo
奘	trang, tráng
奙	bổn
奚	hề
奝	điêu
奞	tuy
奢	xa
奠	điện
奡	ngạo
奥	áo, úc
奧	áo, úc
奨	tưởng
奩	liêm
奪	đoạt
奬	tưởng
奭	thích
奮	phấn
奲	xả, đả
女	nhữ, nứ, nữ, nự
奴	nô
奶	nãi
奸	can, gian
她	tha, tả
奼	sá, xá
好	hiếu, hảo
妁	chước
如	như
妃	phi, phối
妄	vong, vô, vọng
妆	trang
妇	phụ
妈	ma, mụ
妉	đam
妊	nhâm, nhậm
妍	nghiên
妎	hái
妐	chung
妒	đố
妓	kĩ, kỹ
妔	hàng, khanh
妖	yêu
妗	cấm
妘	vân
妙	diệu
妝	trang
妞	nữu
妟	yến
妠	nạp
妢	phần
妣	tỉ, tỷ
妤	dư
妥	thỏa
妦	phong
妨	phương, phướng
妩	vũ
妪	ẩu, ủ
妫	quy
姉	tỷ
姊	tỉ, tỷ
姒	tỉ, tự, tỷ
妬	đố
妮	ni
妯	trục, trừu
妲	đán, đát
妳	nãi, nễ
妸	a
妹	muội
妺	muội, mạt
妻	thê, thế
妾	thiếp
姁	hu, hú, hủ
姅	bán
姆	hối, mẫu, mỗ
始	thủy, thí, thỉ
姌	nhiêm
姍	san, tiên
姎	ương
姏	kiềm
姐	thư, tả
姑	cô
姓	tính
委	uy, ủy
姗	san, tiên
姘	phanh
姙	nhâm
姚	dao, diêu
姜	khương
姝	thù, xu
姞	cật
姟	cai
姡	quát
姣	giao, giảo, hào
姤	cấu
姥	lão, lạo, mỗ, mụ
姦	gian
姧	gian
姨	di
姪	điệt
姫	cơ
姮	hằng
姱	khoa
姶	hấp, ấp
姷	hỗ
姸	nghiên
姹	sá, xá
姺	sâm, sân, tiên
姻	nhân
姼	thi
姽	quỷ
姿	tư
娀	tung, tống
威	oai, uy
娃	oa
娄	lu, lâu, lũ
娅	á
娆	liểu, nhiêu, nhiễu
娇	kiều
娈	luyến
娗	đĩnh
娜	na, nã, nả
姬	cơ
娉	phinh, sính
娌	lí, lý
娑	sa
娒	mỗ
娓	vĩ, vỉ
娖	sác, sước
娘	nương
娙	nghinh
娛	ngu
娟	quyên
娠	thần
娢	hàm
娣	đễ, đệ
娥	nga
娧	duyệt
娩	miễn, phiền, vãn
娪	ngô, ngư
娭	ai, hi, hy
娯	ngu
娱	ngu
娲	oa
娴	nhàn
娿	a, ả
婀	a, ả
娬	phú, vũ
娶	thú
娸	khi, kỳ
娼	xướng
娽	lộc
婁	lu, lâu, lũ
婆	bà
婇	thể
婉	uyển
婊	biểu
婎	huy
婐	a, ỏa
婑	ỏa, tuy
婓	phi
婕	tiệp
婗	nghê
婘	quyến, quyền
婚	hôn
婞	hãnh, hạnh
婟	hộ
婠	loan, oan, oát
婢	tì, tỳ
婤	chu
婥	sước, xước
婦	phụ
婧	tinh
婩	nghiễn
婪	lam
婬	dâm
婭	á
婴	anh
婵	thiền, thuyền
婶	thẩm
婼	nhi, nhược, xúc, xước
媌	miêu
媖	anh
媧	oa
嫏	lang
婣	nhân
婷	đình
婸	sướng
婹	yêu
婺	vụ
婿	tế
媄	mỹ
媅	đam
媆	nhuyễn, nộn
媍	phụ
媒	môi
媓	hoàng
媔	miên
媕	am, an, yểm
媚	mị
媛	viên, viện
媞	thị
媟	tiếp, tiết, tá
媠	nọa, đọa
媢	mạo
媥	thiên
媦	vị
媪	ảo
媭	tu
媮	du, thâu
媯	quy
媿	quý
嫂	tẩu
媰	trâu
媱	dao
媲	bễ, thí
媳	tức
媵	dắng, dựng
媸	si, xi, xuy
媺	mĩ, mỹ
媻	bàn
媼	ảo
媽	ma, mụ
媾	cấu
嫁	giá
嫄	nguyên
嫇	minh
嫈	oanh
嫉	tật
嫋	niểu, niễu, niệu
嫌	hiềm
嫒	ái
嫔	tần
嫟	nật
嫫	mô
嘦	khiếu
嫕	ế
嫖	biều, phiêu
嫗	ẩu, ủ
嫘	luy
嫚	mạn, oan
嫛	ê
嫜	chương
嫠	li, ly
嫡	đích
嫢	quy
嫣	yên
嫥	chuyên
嫦	thường
嫩	nộn
嫪	liệu
嫭	hộ
嫮	hộ
嫱	tường
嫳	miết
嫷	đọa
嫵	vũ
嫶	tiều
嫺	nhàn
嫻	nhàn
嫽	liêu
嫿	hoạ, hoạch
嬀	quy
嬃	tu
嬈	liểu, nhiêu, nhiễu, niêu, niểu
嬉	hi, hy
嬋	thiền, thuyền
嬌	kiều
嬍	mĩ, mỹ
嬎	phó
嬐	ngẫm, tiêm
嬖	bế
嬗	thiện
嬙	tường
嬛	hoàn, huyên, quỳnh
嬝	niễu, niệu
嬡	ái
嬢	nương
嬴	doanh
嬤	ma, mạ, mụ
嬥	điệu
嬪	tần
嬬	nhu
嬭	nãi, nễ
嬰	anh
嬲	niểu, niễu, điều, điểu
嬷	ma, mụ
嬺	nật
嬸	thẩm
嬽	huyên, oan
嬾	lãn, lại
嬿	yến
孀	sương
孃	nương
孅	thiêm, tiêm
孋	ly
孌	luyến
孏	lãn
子	tí, tý, tử
孑	kiết, quyết
孒	củng, quyết
孓	củng, quyết
孔	khổng
孕	dựng
孖	ma, tư
字	tự
存	tồn
孙	tôn, tốn
孚	phu
孛	bột
孜	tư
孝	hiếu
孟	mãng, mạnh
孡	thai
孢	bào
季	quý
孤	cô
孥	noa, nô
学	học
孨	chuyển
孩	hài
孪	loan
孫	tôn, tốn
孬	khoái, nạo
孰	thục
孲	nha
孱	sàn
孳	tư
孴	nghĩ
孶	tư, tứ
孵	phu, phụ
孷	ly
學	học
孹	phách
孺	nhụ
孻	nai
孼	nghiệt
孽	nghiệt
孿	loan, luyên, luyến
宀	miên
宁	ninh, trữ
宂	nhũng
它	tha, xà, đà
宄	quỹ
宅	trạch
宇	vũ
守	thú, thủ
安	an, yên
宊	gia, đột
宋	tống
完	hoàn
宍	nhục
宎	yểu
宏	hoành, hoằng
宐	nghi
牢	lao, lâu, lạo
宓	mật, phục
宕	đãng
宗	tôn, tông
官	quan
宙	trụ
定	đính, định
宛	uyên, uyển
宜	nghi
宝	bảo, bửu
实	thật, thực
宠	sủng
审	thẩm
客	khách
宣	tuyên
室	thất
宥	hựu
宦	hoạn
宨	điệu
宪	hiến
宫	cung
宬	thành
宧	di
宭	quần
宮	cung
宰	tể
害	hại, hạt
宴	yến
宵	tiêu
家	cô, gia
宸	thần
容	dong, dung
宻	mật
宼	khấu
宽	khoan
宾	thấn, tân
宿	tú, túc
寀	thái
寁	tiệp, toản
寂	tịch
寃	oan
寄	kí, ký
寅	dần
密	mật
寇	khấu
寉	hạc
寊	trinh
富	phú
寍	ninh
寎	kính
寐	mị
寑	tẩm
寒	hàn
寓	ngụ
寔	thật, thực, tẩm
寕	ninh
寖	tẩm
寘	trí
寚	bảo
寛	khoan
寜	ninh
寝	tẩm
寞	mịch
察	sát
寠	cũ, lũ
寡	quả
寢	tẩm
寣	hốt
寤	ngộ, ngụ
寥	liêu
實	chí, thật, thực
寧	ninh, trữ
寨	trại
寬	khoan
赛	trại, tái
審	thẩm
寪	vĩ, vị
寫	tả
寮	liêu
寯	tuấn
寰	hoàn
寳	bảo, bửu
寵	sủng
寶	bảo, bửu
寸	thốn
对	đối
寺	tự
寻	tầm
导	đạo
寽	luật
対	đối
寿	thọ
尀	phả
封	phong
専	chuyên
将	thương, tương, tướng
尃	phu
射	dạ, dịch, xạ
尅	khắc
將	thương, tương, tướng
專	chuyên
尉	úy, uất
尊	tôn
尋	tầm
尌	thụ
對	đối
導	đạo
小	tiểu
少	thiếu, thiểu
尒	nhĩ
尓	nhĩ
尔	nhĩ
尖	tiêm
尗	thúc
尘	trần
当	đang, đáng, đương
尙	thượng
尚	thượng
尝	thường
営	dinh, doanh
尞	liêu
辉	huy, huân, vận
尟	tiển
尠	tiển
尢	ngột, uông
尤	vưu
尥	bào, liệu
尧	nghiêu
尨	mang, mông
尪	uông
尫	uông
尬	giới
尰	thũng
就	tựu
尲	dam, giam
尴	dam, giam
尶	giam
尷	dam, giam
尸	thi
尹	doãn, duẫn
尺	chỉ, xích
尻	cừu, khào
尼	ni, nê, nật, nặc, nệ
尽	tần, tẫn, tận
尾	vĩ
尿	niếu, niệu, tuy
局	cục, cuộc
屁	thí
层	tằng
屃	hý
屄	bi, bì, tỳ
居	cư, ky, kí, ký
𬨎	noi
屆	giới
屈	khuất, quật
屉	thế
届	giới
𡰿	bộc, cục, súc
屋	ốc
屌	điếu, điểu
屍	thi
屎	hi, hy, thỉ
屏	bình, bính, phanh
昼	trú
屐	kịch
屑	tiết
展	triển
屖	tê
屙	a, kha, ố
屚	lậu
屛	bình, bính, phanh
屜	thế
屝	phỉ
屠	chư, đồ
属	chú, chúc, thuộc
屟	tiệp
屡	lũ
屢	lũ
屣	tỉ, tỷ, xí
層	tằng
履	lí, lý
屦	lũ
屧	tiệp
屨	lũ
屩	cược, khiêu
屪	liêu
屬	chú, chúc, thuộc
屭	hí, hý
屮	triệt
屯	truân, đồn
屰	kích, nghịch
山	san, sơn
乢	cái
屳	hiên
屴	lực
屵	ngạt
屹	ngật
屺	dĩ, khỉ
屼	ngột
屿	tự
岁	tuế
岂	khải, khỉ, khởi
岋	ngập
岌	ngập
岅	phản
岈	ha
岉	vật
岊	tiết
岍	khiên
岏	hoàn, ngoan
岐	kì, kỳ
岑	sầm
岒	kiềm
岔	sá, xóa, xá
岖	khu
岗	cương
岘	hiện, nghiễn
岚	lam
岛	đảo
岠	cự
岝	trách
岞	trách
岡	cương
岢	khả
岣	cu, cẩu
岥	pha
岧	thiều
岨	thư
岩	nham
岪	phất, phật
岫	tụ
岬	giáp
岭	linh, lãnh, lĩnh
岮	đà
岱	đại
岳	nhạc
岵	hỗ
岷	dân, mân
岸	ngạn
岹	thiều
岽	đông, đống
岿	khuy, vị
峄	dịch
峆	hàm
峇	khạp
峉	ngạch
峊	phụ
峋	tuân
峌	điệt
峒	đồng, đỗng, động
峗	quỵ
峘	hoàn
峙	trì, trĩ
峚	mật
峛	lệ, lị
峝	đồng, đỗng, động
峞	quỵ
峡	giáp, hiệp, hạp
峣	nghiêu
峤	kiêu, kiều, kiệu
峥	tranh
峦	loan
峫	da
埊	địa
峨	nga
峩	nga
峪	cốc, dục
峭	tiễu
峮	quân
峯	phong
峰	phong
峱	nao, nạo
峳	du
峴	hiện, nghiễn
島	đảo
峷	sân, thân, trân, trăn
峺	canh
峻	tuấn
峽	giáp, hiệp, hạp
峾	ngân
峿	ngô, ngữ
崁	khám
崃	lai
崄	hiểm
崋	hoa
崆	khoang, không
崇	sùng
崌	cư
崍	lai
崎	khi, kỳ
崑	côn
崒	tụy, tốt, tột
崔	thôi, tồi
崖	nhai
崗	cương
崘	luân, lôn
崙	luân, lôn
崚	lăng
崛	quật
崞	quách
崟	dần, ngâm
崡	hàm
崢	tranh
崣	khụy, ủy
崤	hào, yêm
崥	tỷ
崦	yêm
崧	tung
崩	băng
崪	tụy, tốt, tột
崫	quật
崬	đông, đống
崭	tiệm
崮	cố
崱	trắc, tắc
崳	du
崴	uy
崷	tù
崺	dĩ
崼	thị
崽	tải, tể
崿	ngạc
嵂	luật
嵆	kê
嵇	kê
嵈	hoãn
嵋	mi, my
嵌	khâm, khảm
嵎	ngu, ngung
嵏	tông
嵐	lam
嵑	kiệt
嵒	nham
嵔	uy, ủy
嵕	tông
嵗	tuế
嵘	vanh
嵚	khâm
嵝	lũ
嵫	tư
嵬	nguy, ngôi
嵯	tha
嵊	thặng
嵠	khê
嵥	kiệt
嵩	tung
嵲	nghiệt
嶅	ngao
嵷	tung
嵸	tung
嵺	lũ
嵽	điệt, đệ
嵾	sâm
嵿	đính, đỉnh
嶁	lũ
嶂	chướng
嶄	sàm, tiệm
嶇	khu
嶋	đảo
嶌	đảo
嶍	tập
嶞	đọa
嵹	cưỡng
嶒	tằng
嶓	ba
嶔	hâm, khâm
嶕	tiêu
嶗	lao
嶙	lân
嶜	toàn, tâm
嶝	đặng
嶟	tôn
嶠	kiêu, kiều, kiệu
嶡	quyết
嶢	nghiêu
嶱	khát
嶲	tây
嶴	áo
嶧	dịch
嶪	nghiệp
嶫	nghiệp
嶮	hiểm
嶰	giải
嶼	dư, dữ, tự
嶷	nghi, ngực
嶸	vanh
嶺	lãnh, lĩnh
嶽	nhạc
嶾	nhạc, ẩn
巂	huề, tây
巅	điên
巆	vanh
巃	lung
巇	hi, hy
巉	sàm
巊	anh
巍	nguy
巋	khuy, vị
巑	toàn, toản, tán
巒	loan
巓	điên
巖	nham
巔	điên
巘	hiến, nghiễn
巜	quái
巛	khôn, xuyên
川	xuyên
州	châu
巟	hoang
巡	duyên, tuần
巠	kinh
巢	sào
巣	sào
工	công
巨	cự, há
左	tá, tả
巧	xảo
巩	củng
巫	vu
差	sai, si, soa, sái, ta, tha
己	kỉ, kỷ
已	dĩ
巳	tị, tỵ
巴	ba
巵	chi
巷	hạng
巹	cẩn
巻	quyển
巽	tốn
巾	cân
巿	phất, thị
帀	táp, tạp
币	tệ
市	thị
布	bố
帄	đinh
帅	soái, súy, suất
帆	phàm, phâm
师	sư
帉	phân
帊	phạ
帋	chỉ
希	hi, hy
帍	hộ
帏	vi, vy
帐	trướng
帑	nô, thảng
帓	mạt
帔	bí, ấp
帕	bạch, mạt, phách, phạ
帖	thiếp, thiệp
帗	bạt, phạt
帘	liêm
帙	dật, pho, trật
帚	chửu, trửu
帛	bạch
帜	xí
帝	đế
帞	mạch
帟	diệc, dịch
帠	nghễ
帡	bình
帢	kháp
帣	quyến
帤	như
帥	soái, súy, suất
带	đái, đới
帧	tránh
帮	bang
帨	thuế
帩	tiêu, tiếu
師	sư
帬	quần
席	tịch
帯	đái, đới
帰	quy
帱	trù, đào
帲	bình
帳	trướng
帴	tiên, tiễn, tàn
帵	oan, uyên
帶	đái, đới
帷	duy
常	thường
帹	sáp, thiếp
帻	trách
帼	quắc
帽	mạo
幀	tránh
幂	mạc, mịch
幃	vi, vy
幄	ác
幅	bức, phúc
幇	bang
幈	bình
幋	bàn
幌	hoảng
幎	mạc, mịch
幏	giá
幐	đằng
幕	mán, mô, mạc, mạn, mộ
幙	mạc
幑	huy
幓	sam, sâm
幔	mạn
幗	quắc
幘	trách
幚	bang
幛	chướng, trướng
幣	tệ
幜	cảnh
幝	xiển
幞	phác, phốc
幟	xí
幠	hu
幡	phan, phiên
幢	chàng, tràng
幩	phần
幦	mịch
幧	thiêu
幨	siêm, siểm, xiêm
幪	mông
幫	bang
幬	trù, đào
幮	trù
幰	hiến, hiển
幱	lan
干	can, cán
平	biền, bình
年	niên
幵	kiên
并	bình, bính, phanh, tinh, tính, tỉnh, tịnh
幷	bình, bính, tinh, tính, tịnh
幸	hạnh
顸	han
幹	can, cán, hàn
乡	hương, hướng, hưởng
幺	yêu
幻	huyễn, ảo
幼	yếu, ấu
幽	u
幾	cơ, khởi, ki, ky, kí, ký, kỉ, kỳ, kỷ
广	nghiễm, quáng, quảng, yểm
庀	phỉ
庁	sảnh, thính
庄	bành, trang
庆	khanh, khánh, khương
庇	tí, tý
床	sàng
庋	kĩ, kỹ, quỷ
庌	nhã
序	tự
庐	lư
庑	vu, vũ
库	khố
应	ưng, ứng
底	để
庖	bao, bào
店	điếm
庙	miếu
庚	canh
府	phủ
庞	bàng
废	phế
庛	thứ
庠	tường
庢	chí, trất
庣	thiêu
庤	chí, trĩ
庥	hưu
度	đạc, độ
庭	thính, đình
座	tòa, tọa
庨	hao
庪	quỷ
庫	khố
庬	bàng, mang
庮	dậu
庲	lai
庳	bí, bỉ, ty, tì, tý, tỳ
庵	am
庶	thứ
康	khang, khương
庸	dong, dung
庹	thỏa
庼	khoảnh
庾	dữu
庿	miếu
廊	lang
庽	ngụ
廀	sưu
廁	trắc, xí
廂	sương, tương
廄	cứu
廆	hối
廋	sưu
廐	cứu
赓	canh
廇	lựu
廈	hạ
廉	liêm
廌	trãi, trĩ
廒	ngao
廓	khoác, khuếch
廕	âm, ấm
廎	khoanh, khoảnh
廏	cứu
廑	cần, cận
廔	lâu
廖	liêu, liệu
廗	đái
廙	dị, dực
廣	khoát, quáng, quảng
廚	trù
廛	triền
廝	tư
廞	hâm, hân
廟	miếu
廠	xưởng
廡	vu, vũ
廢	phế
廥	quái
廧	tường
廨	giải, giới
廩	lẫm
廪	lẫm
廬	lư, lữ
龐	bàng, lung
廰	sảnh, thính
廱	ung
廳	sảnh, thinh, thính
廴	dẫn
廵	tuần
延	diên, duyên
廷	đình
廸	địch
建	kiến, kiển
廻	hồi
廼	nãi
廾	củng, nhập, trấp
